asin,brand,product_name,category,map_price,tag
B0FMS8D34Q,LEGO,"LEGO Minecraft Steve�s Taiga Adventure Building Toy for Boys & Girls - Video Game Playset & Toy Figures for Kids, Ages 6 + - W/2 Minifigures & 2 Pretend Play Animals - Gift Idea for Birthdays - 21583",,9.99 ,Minecraft
B0FMS854MN,LEGO,"LEGO Sonic The Hedgehog Sonic: Speedster Lightning Race Car Toy for Boys & Girls - Toy Building Set W/Minifigure for Kids & Gamers, Ages 7+ - Gift Idea for Birthdays - 77117",,9.99 ,Sonic The Hedgehog
B0CV2HGKDQ,LEGO,"LEGO Botanicals Plum Blossom Building Sets for Adults - Artificial Flower for Dinner Table Centerpiece, Living Room Home Decor, Ages 18+ - DIY Craft Kits - Gift for Birthdays - 10369",,29.99 ,Botanicals
B0FMS891HB,LEGO,"LEGO Creator 3 in 1 Cute Hamster with a Flower Building Toy for Girls & Boys, Ages 7+ - Kids Build a Hamster, Hedgehog or Eagle Animal Figure - Gift Idea for Birthdays - 31376",,9.99 ,Creator 3 in 1
B00NHQFA1I,LEGO,"LEGO Classic Medium Creative Brick Box 10696 Building Toy Set - Featuring Storage, Includes Train, Car, and a Tiger Figure, and Playset for Kids, Boys, and Girls Ages 4-99",,34.99 ,Classics
B0FMS8TRPD,LEGO,"LEGO Botanicals Tulip Bouquet Building Set for Adults - DIY Bedroom, Book Shelf & Office Decor for Women & Men, Ages 18+ - Gift for Birthdays - Artificial Flowers Crafting Kit - 11501",,59.99 ,Botanicals
B0DHLHBGSF,LEGO,"LEGO Art Love Collectible Building Set - DIY Kit for Adults, Ages 18+ - Gifts for Birthdays - Home Decor to Display on Table - 31214",,79.99 ,Art Love
B0DJ18ZWYQ,LEGO,"LEGO Botanicals Lucky Bamboo Building Set - Artificial Plant for Indoor Home D�cor, Adults Ages 18+ - Gift for Birthdays for Him - Fake Plant Decoration for Table, Desk, Office - 10344",,29.99 ,Botanicals
B0FMS7PPHV,LEGO,"LEGO Creator 3 in 1 Turtle with a Water Lily Flower Building Toy for Girls & Boys - Kids Build a Chameleon, Frog, or Turtle Toy Figure - Gift Idea for Animal Lovers, Ages 7+ - 31377",,9.99 ,Creator 3 in 1
B0DX3J6MT7,LEGO,"LEGO Super Mario Game Boy - Retro Building Sets for Adults, Ages 18+ - Gifts for Birthdays - Collectible Model with Game Paks and Display Stand - 72046",,59.99 ,Super Mario
B0DX3HTMV8,LEGO,"LEGO Botanicals Bouquet of Pink Roses Artificial Flowers - Building Blocks for Adults, Ages 18+ - Gifts for Birthdays for Her - Flowers for Home Office, Shelf or Room Decor - 10374",,59.99 ,Botanicals
